"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"1","GB","GB-W2B-035","must","written","PTec","OBJ","OBJ","third",-1,-1
"2","GB","GB-S2B-028","must","spoken","btal","SUB","OBJ","first",0,1
"3","GB","GB-W1B-008","must","written","sl","SUB","SUB","first",1,-1
"4","GB","GB-W2B-035","must","written","PTec","OBJ","OBJ","third",-1,-1
"10","GB","GB-W2E-006","must","written","ed","X","OBJ","third",-0.5,-1
"12","GB","GB-S1B-049","must","spoken","bint","SUB","SUB","first",1,1
"13","GB","GB-W1B-015","must","written","sl","SUB","SUB","first",1,-1
"14","GB","GB-S1B-038","must","spoken","bdis","SUB","SUB","first",1,1
"16","GB","GB-S2A-022","must","spoken","unsp","SUB","SUB","first",1,1
"17","GB","GB-S1B-032","must","spoken","bdis","SUB","SUB","third",1,1
"18","GB","GB-S2A-066","must","spoken","leg","SUB","SUB","first",1,1
"20","GB","GB-W2D-018","must","written","SkHo","OBJ","OBJ","third",-1,-1
"22","GB","GB-S2B-050","must","spoken","nbtal","SUB","OBJ","first",0,1
"23","GB","GB-S2B-050","must","spoken","nbtal","SUB","SUB","first",1,1
"25","GB","GB-S2B-048","must","spoken","nbtal","SUB","SUB","first",1,1
"26","GB","GB-S2B-012","must","spoken","bnew","SUB","OBJ","first",0,1
"27","GB","GB-W2D-012","must","written","SkHo","OBJ","OBJ","third",-1,-1
"28","GB","GB-W2D-012","must","written","SkHo","OBJ","OBJ","third",-1,-1
"36","GB","GB-W2E-002","must","written","ed","SUB","OBJ","third",0,-1
"38","GB","GB-W2A-017","must","written","ASoc","SUB","SUB","third",1,-1
"39","GB","GB-W2D-012","must","written","SkHo","OBJ","OBJ","third",-1,-1
"40","GB","GB-W2D-012","must","written","SkHo","OBJ","OBJ","third",-1,-1
"41","GB","GB-W2D-018","must","written","SkHo","OBJ","OBJ","third",-1,-1
"43","GB","GB-W2E-004","must","written","ed","SUB","SUB","third",1,-1
"44","GB","GB-W2F-017","must","written","nov","SUB","SUB","third",1,-1
"45","GB","GB-S2B-047","must","spoken","nbtal","OBJ","SUB","third",0,1
"46","GB","GB-W2E-007","must","written","ed","SUB","OBJ","third",0,-1
"48","GB","GB-S2A-033","must","spoken","unsp","OBJ","OBJ","third",-1,1
"50","GB","GB-W2B-030","must","written","PNat","OBJ","OBJ","third",-1,-1
"51","GB","GB-W2B-017","must","written","PSoc","X","OBJ","third",-0.5,-1
"53","GB","GB-W2A-017","must","written","ASoc","OBJ","SUB","third",0,-1
"54","GB","GB-S2A-033","must","spoken","unsp","OBJ","OBJ","third",-1,1
"55","GB","GB-W2D-015","must","written","SkHo","OBJ","OBJ","third",-1,-1
"56","GB","GB-S2B-044","must","spoken","nbtal","OBJ","OBJ","third",-1,1
"57","GB","GB-W2B-038","must","written","PTec","OBJ","OBJ","third",-1,-1
"59","GB","GB-W2E-001","must","written","ed","SUB","OBJ","third",0,-1
"64","GB","GB-S1B-047","must","spoken","bint","SUB","SUB","third",1,1
"65","GB","GB-W2D-013","must","written","SkHo","OBJ","OBJ","third",-1,-1
"71","GB","GB-S2B-005","must","spoken","bnew","OBJ","OBJ","third",-1,1
"78","GB","GB-S2B-047","must","spoken","nbtal","OBJ","OBJ","third",-1,1
"80","GB","GB-S1B-036","must","spoken","bdis","SUB","SUB","third",1,1
"83","GB","GB-W2D-018","must","written","SkHo","OBJ","OBJ","third",-1,-1
"86","GB","GB-W2E-009","must","written","ed","SUB","SUB","third",1,-1
"89","GB","GB-S2B-037","must","spoken","btal","X","X","third",0,1
"90","GB","GB-W2D-013","must","written","SkHo","OBJ","OBJ","third",-1,-1
"91","GB","GB-W2D-013","must","written","SkHo","OBJ","OBJ","third",-1,-1
"92","GB","GB-W2A-014","must","written","ASoc","SUB","OBJ","third",0,-1
"93","GB","GB-W2B-020","must","written","PSoc","OBJ","OBJ","third",-1,-1
"96","GB","GB-S2B-030","must","spoken","btal","SUB","OBJ","third",0,1
"98","GB","GB-W2D-011","must","written","SkHo","OBJ","OBJ","third",-1,-1
"99","GB","GB-W2B-013","must","written","PSoc","SUB","OBJ","third",0,-1
"103","GB","GB-S1B-047","must","spoken","bint","SUB","OBJ","third",0,1
